Product_type,Brand,Size,fabric,fabric_cost_per_kg/meter/hide,fabric_raw_cost,manufacturing,transportation,tax,brand_value,retailer_margin,selling_price
Classic Dress,Bates Ltd Basics (budget),S,cotton,242,86.4,72.39,5.55,16.21,28.59,131.21,340.36
Dress,Jones & Co. (premium),XXXL,cotton,708,2375.86,1898.7,163.59,2204.62,2843.28,11090.39,20576.44
Traditional Dress,Lee & Co. (premium),M,cotton,618,1007.13,935.54,54.95,970.71,1157.14,4934.53,9060.0
Dress,"Dennis, Simmons and Rosario (mid_range)",XL,cotton,501,487.94,469.55,24.56,321.94,417.29,1283.5,3004.78
Dress,Kelly Inc (mid_range),XL,cotton,343,362.15,362.79,27.08,267.89,292.52,1187.84,2500.27
Dress,"Rich, Cole and Brown Basics (budget)",L,cotton,186,96.65,80.39,6.61,17.88,42.79,131.26,375.58
Dress,Smith & Co. (premium),XXXL,cotton,828,2530.38,2487.34,144.75,2629.07,2993.07,13753.35,24537.97
Dress,"Washington, Green and Doyle (mid_range)",XXL,cotton,303,361.4,329.92,18.1,252.25,331.35,1061.35,2354.37
Vintage Dress,Velez-Carter Basics (budget),XL,cotton,185,124.45,112.66,8.16,23.14,59.76,157.75,485.92
Traditional Dress,Miller-Williams (mid_range),XL,cotton,339,320.6,258.98,16.69,240.24,333.66,1072.1,2242.26
Dress,Trujillo & Co. (premium),XXXL,cotton,809,2713.33,2164.96,166.52,2605.67,3904.54,12764.55,24319.56
Contemporary Dress,Brady PLC Basics (budget),L,cotton,209,125.74,124.9,9.07,26.13,51.98,210.93,548.75
Contemporary Dress,"Johnson, Hanson and Garza Basics (budget)",S,cotton,187,65.98,60.32,3.46,13.59,30.59,111.43,285.37
Classic Dress,Garcia Couture (luxury),XL,cotton,1373,5672.66,4385.65,371.28,11238.73,18589.53,64636.95,104894.79
Casual Dress,Ferguson-Barrera (mid_range),XXXL,cotton,525,801.47,711.93,40.66,578.04,748.71,2514.24,5395.06
Formal Dress,"Schroeder, Walker and Ray Basics (budget)",M,cotton,203,98.48,78.69,6.45,16.7,36.88,113.44,350.64
Dress,Thomas & Co. (premium),L,cotton,692,1224.15,954.74,85.16,1239.34,1787.56,6276.25,11567.2
Dress,Delacruz-Melton Basics (budget),XXL,cotton,164,130.59,104.44,7.91,23.82,45.1,188.33,500.2
Dress,"Joseph, Hutchinson and Mcdowell Basics (budget)",XXL,cotton,149,117.25,106.5,8.11,21.28,35.55,158.14,446.82
Formal Dress,Boyle & Co. (premium),M,cotton,839,1474.53,1212.73,105.09,1560.38,2061.35,8149.47,14563.55
Dress,Spencer & Co. (premium),XXXL,cotton,647,1914.41,1429.66,118.78,1745.25,2558.04,8522.86,16289.0
Casual Dress,Aguirre-Thomas Basics (budget),XXXL,cotton,193,191.22,152.4,11.86,34.06,64.68,261.09,715.32
Dress,Arias and Sons Basics (budget),S,cotton,240,81.03,61.58,4.36,14.16,26.95,109.38,297.46
Modern Dress,"Fitzpatrick, Moore and Wilcox (mid_range)",L,cotton,470,415.01,299.57,28.96,309.85,469.63,1368.88,2891.9
Dress,Johnson & Co. (premium),M,cotton,614,960.48,742.38,66.56,773.15,1022.5,3651.02,7216.09
Dress,"Goodwin, Brown and Hughes Basics (budget)",M,cotton,196,83.37,61.62,4.51,14.49,37.63,102.74,304.37
Vintage Dress,Welch Inc Basics (budget),XL,cotton,161,109.93,79.43,6.66,17.54,35.8,118.94,368.3
Dress,Powell & Co. (premium),XL,cotton,750,1856.74,1746.52,103.83,1758.67,1735.04,9213.42,16414.22
Dress,Perez & Co. (premium),XXXL,cotton,647,2135.15,1678.31,141.87,1882.8,2020.93,9713.76,17572.83
Dress,Goodwin Ltd Basics (budget),XXL,cotton,173,139.8,129.48,10.71,27.17,53.76,209.59,570.49
Contemporary Dress,Bennett & Co. (premium),M,cotton,808,1435.35,1384.28,79.3,1480.69,1950.42,7489.72,13819.76
Casual Dress,Martinez-Miranda (mid_range),XXL,cotton,324,417.99,305.91,28.21,336.46,507.57,1544.17,3140.32
Dress,Rodriguez-Blake (mid_range),XXL,cotton,542,632.95,476.89,46.82,487.73,693.16,2214.6,4552.15
Dress,Jones Inc Basics (budget),XXL,cotton,234,198.12,191.36,10.28,39.32,92.98,293.68,825.74
Dress,"Cox, Galloway and Thompson (mid_range)",S,cotton,349,189.44,145.34,13.37,145.48,229.84,634.37,1357.85
Dress,Wilson Inc Basics (budget),XXXL,cotton,168,147.72,125.96,8.1,26.3,46.64,197.64,552.37
Dress,Singh & Co. (premium),XXXL,cotton,851,2914.31,2130.08,211.33,2673.16,3409.94,13610.64,24949.46
Dress,Castaneda & Co. (premium),XXL,cotton,810,2190.56,1971.63,127.62,1990.41,2550.84,9746.1,18577.16
Vintage Dress,Williams & Co. (premium),S,cotton,601,761.38,572.99,42.77,705.49,1098.93,3403.01,6584.57
Dress,Williams Ltd (mid_range),XL,cotton,396,383.41,279.21,28.0,273.6,469.99,1119.39,2553.6
Dress,"Preston, George and Stevens (mid_range)",L,cotton,410,333.38,254.36,21.77,244.95,395.11,1036.62,2286.19
Classic Dress,"Delacruz, Morgan and Castillo Basics (budget)",XXL,cotton,165,139.51,136.07,7.9,26.34,60.37,183.03,553.21
Classic Dress,"Price, Willis and Vincent Basics (budget)",L,cotton,175,100.35,94.3,5.73,19.97,44.66,154.43,419.46
Dress,Morales Ltd Basics (budget),L,cotton,219,127.76,115.23,8.11,22.02,41.18,148.15,462.45
Dress,Martin-Compton Basics (budget),XXL,cotton,164,134.17,123.28,7.33,26.32,51.95,209.69,552.74
Classic Dress,Fisher & Co. (premium),XL,cotton,601,1432.5,1369.19,71.64,1309.49,1946.42,6092.67,12221.91
Contemporary Dress,Carter-Vazquez Basics (budget),XXXL,cotton,210,178.82,157.36,10.78,33.55,87.96,236.05,704.52
Dress,Patel Couture (luxury),M,cotton,1689,4683.72,3919.27,353.73,7681.35,11808.93,43245.63,71692.63
Dress,"Boyd, Brown and Malone Basics (budget)",XL,cotton,242,157.64,149.61,10.54,30.51,78.2,214.14,640.63
Dress,Lloyd and Sons Basics (budget),XL,cotton,153,95.13,84.16,5.19,18.59,42.76,144.56,390.38
Dress,Huff Ltd Basics (budget),XL,cotton,218,131.72,95.29,9.6,23.52,59.44,174.33,493.9
Contemporary Dress,"Gallegos, Sharp and Meadows Basics (budget)",M,cotton,173,80.03,77.06,4.4,14.77,29.74,104.08,310.08
Dress,"Hoffman, Lloyd and Paul (mid_range)",S,cotton,388,224.62,198.54,15.85,190.46,273.74,874.39,1777.58
Modern Dress,Park-Stevenson (mid_range),XL,cotton,459,438.79,396.68,27.1,293.59,423.09,1160.94,2740.19
Dress,Vaughan-Booth Basics (budget),L,cotton,240,147.21,134.74,10.22,29.71,63.03,239.1,624.01
Dress,Lowery Inc Basics (budget),XXXL,cotton,227,202.6,156.35,12.77,36.48,78.62,279.24,766.06
Dress,Byrd Couture (luxury),M,cotton,1549,4457.88,3887.56,266.0,8208.28,14087.38,45703.51,76610.6
Dress,"Yoder, Johnson and Murphy Basics (budget)",XL,cotton,211,147.76,133.15,9.89,28.89,50.94,236.1,606.74
Dress,Rowe-Kaiser Basics (budget),S,cotton,140,55.37,40.14,3.98,10.04,26.65,74.55,210.74
Dress,Holden & Co. (premium),S,cotton,871,1238.31,1135.87,89.67,1216.18,1779.36,5891.66,11351.05
Dress,Murphy-Mckinney (mid_range),XL,cotton,518,484.73,473.53,27.89,380.23,482.44,1699.96,3548.77
Dress,Rosales Couture (luxury),L,cotton,1031,3534.77,2641.79,204.83,6731.52,9626.46,40088.15,62827.51
Dress,Gordon-Brown (mid_range),XXXL,cotton,367,546.57,516.6,34.61,379.05,518.03,1542.95,3537.8
Dress,Murphy & Co. (premium),S,cotton,802,1144.54,884.26,61.6,1170.05,1680.78,5979.19,10920.42
Dress,Porter Couture (luxury),XL,cotton,1204,5149.63,4295.44,408.26,8956.67,12527.56,52258.05,83595.61
Traditional Dress,Murillo-Howell (mid_range),S,cotton,333,178.21,177.72,12.11,142.26,171.7,645.8,1327.79
Dress,Walton-Gallegos (mid_range),XL,cotton,494,492.05,475.53,27.32,401.82,564.05,1789.53,3750.28
Dress,Nelson-Brown (mid_range),XXXL,cotton,337,491.61,421.52,30.49,354.86,591.77,1421.76,3312.0
Dress,Hall Couture (luxury),L,cotton,1305,4617.5,3887.59,303.96,9112.93,15702.35,51429.71,85054.05
Dress,"Morrison, Cruz and Mclaughlin Basics (budget)",XXXL,cotton,176,172.37,129.33,9.2,28.9,58.61,208.53,606.95
Dress,Evans Inc Basics (budget),XL,cotton,157,100.95,78.93,5.82,19.06,43.35,152.05,400.16
Modern Dress,Martinez-Bailey Basics (budget),XL,cotton,165,117.61,95.24,8.91,19.98,41.2,136.6,419.53
Dress,"Dunn, White and Sheppard (mid_range)",XXL,cotton,312,337.55,328.11,18.91,252.9,275.96,1146.93,2360.36
Dress,"Brown, Howard and Santos (mid_range)",XXL,cotton,523,600.87,429.32,46.02,464.57,744.45,2050.78,4336.01
Dress,Terry Inc (mid_range),XXXL,cotton,474,605.9,602.0,48.47,535.06,742.68,2459.77,4993.89
Formal Dress,"Gonzales, Romero and Blackwell Basics (budget)",XXL,cotton,177,141.23,140.49,7.28,27.97,65.82,204.68,587.47
Dress,"Atkins, Williams and Odonnell Basics (budget)",L,cotton,242,123.19,92.94,7.49,23.49,57.51,188.69,493.31
Dress,"Smith, Hamilton and Simpson (mid_range)",S,cotton,351,206.44,177.5,15.56,161.52,208.36,738.14,1507.52
Dress,Sanchez Couture (luxury),S,cotton,1782,3621.57,2986.79,201.91,5411.68,8030.56,30256.5,50509.01
Classic Dress,Howell PLC Basics (budget),XXXL,cotton,231,235.05,185.33,13.61,42.88,77.16,346.35,900.38
Dress,Gould LLC Basics (budget),S,cotton,202,69.53,66.14,4.23,13.72,28.3,106.29,288.21
Modern Dress,Clark-Hines Basics (budget),S,cotton,166,61.8,54.2,4.69,11.82,25.54,90.14,248.19
Dress,"Greene, Fuller and Morgan Basics (budget)",XXL,cotton,151,115.94,115.46,8.07,21.56,47.07,144.69,452.79
Dress,"White, Larson and Shah Basics (budget)",L,cotton,212,123.99,113.95,7.84,23.67,53.7,173.92,497.06
Dress,"Patrick, Gregory and Smith Basics (budget)",L,cotton,171,98.15,90.52,6.11,19.77,45.18,155.35,415.08
Dress,Freeman-Sims Basics (budget),S,cotton,170,63.59,63.82,4.71,12.04,20.36,88.23,252.76
Dress,Johnson-Rodriguez (mid_range),L,cotton,322,294.89,297.04,18.76,202.44,265.2,811.12,1889.44
Dress,"Holloway, Jackson and Mitchell Basics (budget)",XXXL,cotton,144,136.37,100.88,7.37,24.73,58.86,191.21,519.41
Dress,Hansen-Clay (mid_range),L,cotton,381,299.32,244.16,19.79,225.29,349.71,964.39,2102.66
Dress,Lutz-Olsen (mid_range),S,cotton,428,227.12,207.95,14.52,168.14,260.26,691.33,1569.31
Classic Dress,Simon & Co. (premium),L,cotton,867,1680.86,1627.71,105.94,1419.35,1675.47,6737.89,13247.23
Dress,"Ware, Jennings and Willis (mid_range)",M,cotton,353,228.03,217.54,17.5,157.16,201.37,645.26,1466.86
Contemporary Dress,Cobb Group Basics (budget),XXXL,cotton,185,164.0,137.69,12.54,27.79,54.45,187.04,583.51
Dress,Taylor-Roberts (mid_range),XXXL,cotton,487,664.55,549.35,43.12,487.43,730.08,2074.83,4549.36
Casual Dress,Rodriguez Inc Basics (budget),S,cotton,224,75.36,61.59,5.81,13.29,29.38,93.64,279.08
Dress,Reed-Miles (mid_range),L,cotton,525,403.48,364.57,20.53,271.73,350.01,1125.85,2536.17
Vintage Dress,"Roberson, Wilkins and Cardenas (mid_range)",S,cotton,381,231.34,197.72,16.07,156.18,231.13,625.24,1457.67
Contemporary Dress,Austin & Co. (premium),S,cotton,696,969.09,941.39,74.25,941.03,1286.44,4570.71,8782.91
Dress,Rogers-Garcia (mid_range),M,cotton,382,261.18,227.86,19.47,206.83,274.29,940.82,1930.46
Dress,White-Brown (mid_range),L,cotton,549,450.22,382.29,33.9,328.22,537.31,1331.44,3063.39
Dress,Boyer & Co. (premium),L,cotton,604,1103.8,822.66,81.49,913.02,1241.45,4359.09,8521.51
Dress,"West, Bailey and Gonzalez Basics (budget)",S,cotton,161,62.3,48.5,3.76,10.93,23.59,80.39,229.47
Dress,Jensen PLC (mid_range),XXXL,cotton,412,622.04,624.33,37.24,412.21,505.74,1645.71,3847.27
Modern Dress,Bowers and Sons (mid_range),M,cotton,443,329.56,268.56,19.12,206.5,287.34,816.24,1927.32
Modern Dress,"Jackson, Anderson and Perry (mid_range)",XXL,cotton,403,466.1,447.24,30.8,384.21,500.3,1757.35,3586.0
Classic Dress,Murray and Sons (mid_range),L,cotton,504,401.94,377.9,25.58,320.84,413.16,1455.07,2994.49
Dress,Washington-Adams (mid_range),XL,cotton,460,416.69,385.43,21.82,323.19,435.93,1433.39,3016.45
Dress,"Wolfe, Drake and Franklin Basics (budget)",XL,cotton,211,151.54,125.41,10.77,30.08,71.65,242.31,631.76
Dress,Norris & Co. (premium),L,cotton,819,1609.84,1551.2,81.69,1449.29,1654.97,7179.72,13526.7
Dress,Barnes and Sons Basics (budget),XXL,cotton,210,155.05,131.44,8.42,27.9,66.7,196.32,585.82
Dress,White & Co. (premium),L,cotton,837,1690.89,1501.26,123.44,1789.05,2394.8,9198.4,16697.84
Vintage Dress,Weaver Couture (luxury),XXXL,cotton,1480,9112.11,9155.92,713.12,19714.59,31692.36,113614.73,184002.82
Modern Dress,"Sexton, Carroll and Mccullough Basics (budget)",XXXL,cotton,242,224.58,227.14,14.24,44.44,70.88,351.98,933.26
Dress,Howell-Chavez Basics (budget),M,cotton,210,102.53,95.54,7.36,19.98,38.75,155.46,419.64
Dress,Gomez-Mccormick (mid_range),M,cotton,517,388.79,315.06,23.0,278.79,405.35,1191.07,2602.06
Dress,Klein & Co. (premium),XXXL,cotton,735,2588.03,2596.34,187.56,2448.16,3157.1,11872.32,22849.52
Dress,"Day, Williams and Evans Basics (budget)",XL,cotton,167,102.88,74.74,7.34,18.36,39.05,143.18,385.55
Dress,"Harris, Burton and Olsen Basics (budget)",L,cotton,189,112.55,93.98,7.91,20.05,37.04,149.55,421.09
Dress,Figueroa Ltd (mid_range),L,cotton,387,333.98,299.54,18.46,232.68,267.4,1019.66,2171.72
Casual Dress,Ramirez-Mcdonald (mid_range),S,cotton,509,292.13,250.67,20.04,216.18,312.22,926.43,2017.66
Dress,Lucas Group Basics (budget),XL,cotton,211,124.74,105.23,6.66,21.5,49.39,144.04,451.57
Dress,Taylor & Co. (premium),XXL,cotton,631,1744.05,1628.67,131.99,1564.04,2236.48,7292.44,14597.68
Vintage Dress,"Fischer, Ewing and Suarez Basics (budget)",XXXL,cotton,171,159.39,126.82,9.45,26.49,52.96,181.16,556.29
Casual Dress,Murphy LLC (mid_range),M,cotton,357,230.82,210.08,17.25,163.31,221.01,681.76,1524.22
Dress,Quinn & Co. (premium),L,cotton,823,1526.26,1210.38,84.96,1510.46,2197.13,7568.4,14097.59
Dress,Clay Couture (luxury),XXXL,cotton,1431,8100.08,7938.64,438.97,14671.69,19021.59,86764.82,136935.79
Dress,"Mcintyre, Snyder and Meyer Basics (budget)",XXL,cotton,141,118.34,100.39,9.02,22.02,53.46,159.17,462.38
Casual Dress,Case & Co. (premium),XL,cotton,724,1631.35,1614.49,101.31,1697.81,2252.37,8548.89,15846.23
Dress,"Rocha, Mcdaniel and Cruz (mid_range)",XXL,cotton,532,630.24,619.23,38.97,486.08,696.58,2065.61,4536.71
Dress,Ortega & Co. (premium),L,cotton,683,1437.84,1304.77,83.09,1329.29,1497.58,6754.1,12406.67
Dress,"Gilmore, Bush and Gutierrez Basics (budget)",S,cotton,242,81.98,74.75,6.09,16.19,39.25,121.64,339.9
Dress,Lane & Co. (premium),XXXL,cotton,842,2599.34,2173.17,144.31,2175.82,2830.61,10384.42,20307.68
Dress,"Wright, Park and Gregory (mid_range)",L,cotton,542,464.24,464.07,32.48,389.26,572.23,1710.81,3633.09
Dress,Smith Couture (luxury),XXXL,cotton,1487,7897.43,6149.08,576.55,16651.87,23920.7,100221.82,155417.46
Dress,Payne and Sons Basics (budget),XL,cotton,174,120.15,117.45,6.24,24.0,46.69,189.56,504.09
Traditional Dress,Ramsey & Co. (premium),XL,cotton,893,2113.26,2067.75,139.97,1848.8,2496.84,8588.9,17255.51
Dress,Rojas-Ellis Basics (budget),M,cotton,142,69.02,69.98,4.65,13.57,28.43,99.38,285.04
Dress,Blevins & Co. (premium),XL,cotton,874,1892.84,1618.36,116.87,1528.75,1784.59,7326.91,14268.32
Modern Dress,Melendez Couture (luxury),XXXL,cotton,1769,10823.28,9854.75,825.6,21095.34,36421.95,117868.91,196889.83
Modern Dress,Carr LLC (mid_range),XXXL,cotton,505,767.59,565.49,39.3,496.97,598.17,2170.84,4638.35
Dress,West-Casey Basics (budget),L,cotton,223,116.67,117.29,6.86,22.81,46.33,169.04,479.0
Dress,Johnson Inc (mid_range),XXXL,cotton,432,609.55,563.34,45.84,462.73,582.4,2054.96,4318.82
Dress,Stephenson Couture (luxury),M,cotton,1186,3642.28,3584.41,254.01,7100.95,9761.76,41932.17,66275.57
Dress,Blankenship Ltd Basics (budget),M,cotton,177,76.84,61.08,6.01,14.55,36.08,111.04,305.61
Vintage Dress,"Bruce, Perry and Dudley Basics (budget)",L,cotton,180,97.61,70.68,7.16,17.57,45.6,130.36,368.98
Dress,Gutierrez Group Basics (budget),L,cotton,148,74.8,68.63,3.91,14.74,26.17,121.28,309.53
Vintage Dress,Jones & Co. (premium),S,cotton,714,978.0,962.06,74.65,990.83,1172.77,5069.45,9247.77
Dress,Myers & Co. (premium),S,cotton,696,953.2,707.79,61.25,842.73,934.76,4365.76,7865.48
Dress,"Day, Roberts and Morris (mid_range)",XL,cotton,496,467.05,429.62,28.73,336.96,431.16,1451.42,3144.94
Dress,Savage & Co. (premium),XXL,cotton,690,2026.82,1487.46,104.84,1909.6,2274.43,10019.8,17822.94
Dress,"Oneill, Stokes and Johnson Basics (budget)",XXL,cotton,162,120.41,91.46,6.61,21.65,39.38,175.08,454.59
Contemporary Dress,Lee Inc Basics (budget),XL,cotton,243,143.72,115.75,8.3,26.56,64.25,199.2,557.77
Dress,Roberts-Nunez Basics (budget),M,cotton,210,97.56,83.08,6.48,19.22,46.21,151.04,403.6
Dress,"Freeman, Martinez and Vang (mid_range)",XXXL,cotton,315,425.64,322.82,26.71,275.57,359.86,1161.36,2571.95
Dress,Smith & Co. (premium),M,cotton,698,1046.4,759.82,80.17,864.37,1069.77,4246.89,8067.43
Casual Dress,Nelson & Co. (premium),L,cotton,825,1587.54,1448.07,100.85,1618.46,2170.57,8180.16,15105.65
Dress,Wolf Group Basics (budget),L,cotton,230,133.01,130.78,10.43,27.61,54.48,223.43,579.74
Classic Dress,Goodwin Couture (luxury),S,cotton,1000,2427.68,2039.43,158.35,4981.54,7243.25,29644.15,46494.41
Dress,"Turner, Wilson and Avila (mid_range)",L,cotton,502,404.57,325.92,23.05,291.24,365.33,1308.14,2718.25
Vintage Dress,Hill PLC (mid_range),XXL,cotton,533,654.22,621.98,32.85,495.81,638.62,2184.08,4627.57
Dress,Johnson Couture (luxury),L,cotton,1688,5153.98,4977.76,405.56,10434.66,12831.3,63586.89,97390.14
Dress,Tran-Stewart Basics (budget),XXXL,cotton,184,177.17,146.03,10.71,32.52,55.98,260.6,683.01
Dress,Logan & Co. (premium),XXXL,cotton,801,2768.56,2308.85,147.86,2964.0,3835.76,15638.96,27663.99
Formal Dress,"Miller, Miller and Martin Basics (budget)",XXXL,cotton,244,225.82,210.27,12.11,41.28,67.9,309.58,866.95
Dress,Gomez-Weaver (mid_range),XL,cotton,401,406.96,390.61,25.84,330.37,429.07,1500.57,3083.41
Formal Dress,Molina-Crawford Basics (budget),XXL,cotton,150,107.58,91.91,8.39,19.72,39.43,147.04,414.07
Dress,Burke PLC Basics (budget),L,cotton,243,148.25,144.32,10.17,29.09,57.54,221.6,610.97
Dress,Johnston Couture (luxury),L,cotton,1594,5707.41,5011.41,428.18,9697.48,13804.85,55860.52,90509.85
Dress,Sloan-Barnes (mid_range),XXL,cotton,451,494.83,366.68,36.83,373.02,521.75,1688.43,3481.54
Dress,Valdez-Wagner Basics (budget),XXXL,cotton,159,161.77,154.4,8.18,30.38,49.17,234.0,637.89
Dress,Walls-Ramsey Basics (budget),XXL,cotton,153,129.14,108.3,9.75,24.66,46.04,200.02,517.91
Dress,Jackson-Wilson (mid_range),XXXL,cotton,455,653.65,466.6,45.81,425.83,644.36,1738.17,3974.42
Casual Dress,Sullivan-Khan Basics (budget),XXXL,cotton,155,148.82,124.03,11.55,27.68,69.96,199.19,581.23
Dress,Davis-Watts Basics (budget),XXL,cotton,148,107.93,85.44,5.4,20.94,48.65,171.39,439.75
Dress,"Watson, Walter and Adams Basics (budget)",XXXL,cotton,191,183.89,171.29,11.68,34.51,85.04,238.36,724.77
Dress,"Guzman, Jacobs and Hall Basics (budget)",M,cotton,172,76.65,69.46,4.07,14.71,23.54,120.5,308.93
Modern Dress,"Andersen, Thompson and Griffith (mid_range)",XXXL,cotton,377,535.37,447.05,40.04,365.48,565.86,1457.31,3411.11
Dress,"Lawrence, Oconnell and Odonnell (mid_range)",M,cotton,534,388.14,371.46,29.46,318.08,401.37,1460.22,2968.72
Dress,Palmer Couture (luxury),L,cotton,1400,4774.16,3587.24,255.68,8254.79,10093.07,50079.77,77044.72
Contemporary Dress,"Hicks, Bass and Curtis (mid_range)",L,cotton,502,453.6,392.0,35.86,341.01,559.38,1400.9,3182.73
Dress,Osborn-Perkins Basics (budget),S,cotton,143,50.38,40.67,2.96,9.97,24.52,80.85,209.35
Dress,"Henderson, Wilkinson and Taylor Basics (budget)",L,cotton,231,124.59,103.1,6.34,23.78,56.58,184.97,499.36
Dress,"Edwards, Webb and Barnes Basics (budget)",XL,cotton,241,150.42,115.15,8.25,25.19,56.66,173.39,529.06
Dress,Hayden PLC Basics (budget),M,cotton,142,67.25,64.89,3.52,12.58,21.09,94.86,264.18
Contemporary Dress,Taylor Couture (luxury),M,cotton,1192,3030.34,2734.45,173.52,5634.05,7759.19,33252.96,52584.5
Dress,Mills-Fitzpatrick (mid_range),XXL,cotton,403,503.26,446.54,34.48,401.99,543.29,1822.36,3751.91
Dress,"Strong, Graves and Nelson (mid_range)",S,cotton,369,189.51,172.25,14.26,134.48,153.65,590.99,1255.14
Dress,Carrillo-Black (mid_range),S,cotton,432,258.32,213.6,16.52,206.97,297.98,938.32,1931.72
Casual Dress,Wilson and Sons Basics (budget),M,cotton,188,85.81,62.72,5.7,15.32,30.49,121.68,321.72
Dress,Meyer PLC Basics (budget),XXXL,cotton,225,226.25,217.52,13.79,42.55,75.52,317.82,893.45
Dress,"Holland, Kennedy and Stevenson Basics (budget)",XL,cotton,247,166.12,135.93,12.44,29.63,68.07,210.11,622.3
Dress,Davis LLC (mid_range),L,cotton,457,353.49,347.54,23.97,264.57,402.28,1077.51,2469.36
Dress,Sullivan LLC Basics (budget),XXL,cotton,244,202.55,160.08,13.06,37.17,68.47,299.25,780.59
Dress,"Reynolds, Miller and Hernandez Basics (budget)",L,cotton,228,122.66,94.77,9.18,24.04,60.14,194.09,504.88
Dress,Levine-Burns Basics (budget),S,cotton,191,72.39,62.26,4.51,12.58,25.87,86.58,264.2
Dress,Swanson-Adams Basics (budget),XL,cotton,186,110.7,89.31,7.63,20.19,35.78,160.42,424.03
Dress,Spencer-Jordan (mid_range),L,cotton,316,250.07,198.82,18.63,181.38,247.83,796.11,1692.84
Formal Dress,Arroyo Couture (luxury),XL,cotton,1764,6658.36,6211.92,453.19,14299.75,21161.85,84679.22,133464.29
Dress,Banks Couture (luxury),L,cotton,1227,4389.01,3669.45,258.17,8990.25,13342.21,53259.92,83909.01
Dress,Bass & Co. (premium),XL,cotton,750,1726.63,1234.33,92.91,1671.09,2123.72,8748.16,15596.83
Dress,Jones and Sons Basics (budget),XXL,cotton,142,107.33,84.69,6.63,20.92,53.02,166.67,439.26
Dress,"Lynn, Marquez and Thompson (mid_range)",M,cotton,364,245.5,229.27,12.51,186.77,235.32,833.85,1743.23
Formal Dress,"Edwards, Hobbs and Villa (mid_range)",XXXL,cotton,483,666.66,660.45,49.16,549.14,796.31,2403.59,5125.33
Dress,Murray & Co. (premium),S,cotton,686,899.56,770.85,60.77,861.09,1003.0,4441.56,8036.83
Dress,"Kim, Wood and Christensen (mid_range)",S,cotton,342,190.01,164.85,12.4,136.48,212.04,558.02,1273.81
Modern Dress,Woods-Anderson Basics (budget),L,cotton,225,127.66,115.93,8.4,25.84,62.88,201.96,542.67
Traditional Dress,Huang-Hernandez (mid_range),XXXL,cotton,454,634.65,584.4,49.55,434.79,608.52,1746.12,4058.03
Dress,Briggs-Conley (mid_range),XXXL,cotton,308,473.47,376.35,24.81,345.84,568.75,1438.62,3227.83
Dress,"Cooper, Wolfe and Berg Basics (budget)",XXL,cotton,223,179.3,137.16,11.22,30.05,69.14,204.19,631.06
Dress,"Norton, Smith and Lee Basics (budget)",L,cotton,209,117.03,87.58,8.27,19.84,41.53,142.47,416.72
Dress,Padilla & Co. (premium),L,cotton,693,1365.78,1128.97,84.35,1090.53,1317.83,5190.79,10178.26
Vintage Dress,Meyer-Martin Basics (budget),XXL,cotton,240,174.9,139.27,13.67,29.25,54.74,202.51,614.34
Dress,Rivera-Bridges Basics (budget),M,cotton,166,70.79,51.14,5.1,11.76,22.18,86.04,247.01
Modern Dress,Johnson and Sons Basics (budget),XL,cotton,182,117.71,90.41,8.54,20.71,56.61,141.0,434.98
Dress,Miller & Co. (premium),XL,cotton,879,2187.37,1685.04,148.97,1817.84,2651.47,8475.81,16966.5
Formal Dress,Mccann-Hogan Basics (budget),M,cotton,239,117.81,91.1,8.3,19.78,45.02,133.34,415.36
Contemporary Dress,"Wolf, Stokes and Brown (mid_range)",XL,cotton,422,427.49,374.86,23.07,287.03,333.07,1233.47,2678.99
Dress,Chavez-Marsh Basics (budget),XXL,cotton,217,161.72,146.21,8.47,32.48,69.58,263.67,682.14
Classic Dress,Hill PLC (mid_range),XXL,cotton,348,394.45,340.57,24.25,283.06,330.84,1268.72,2641.88
Dress,Shaw-Stevens (mid_range),XXXL,cotton,404,559.47,507.77,29.28,391.34,501.74,1662.94,3652.54
Traditional Dress,Jones-Hall Basics (budget),S,cotton,147,54.43,46.11,4.11,10.94,25.97,88.21,229.77
Dress,Jones-Hoover (mid_range),L,cotton,532,464.64,441.72,28.04,342.68,366.25,1554.98,3198.31
Contemporary Dress,Anderson PLC Basics (budget),S,cotton,240,86.0,77.94,4.34,16.26,34.87,121.96,341.38
Dress,Cochran-Knight Basics (budget),M,cotton,207,95.61,76.38,7.5,17.95,34.98,144.46,376.88
Dress,Ward-Conway Basics (budget),XL,cotton,168,105.57,103.26,7.8,20.53,39.6,154.41,431.17
Dress,Harris-Russell Basics (budget),XXL,cotton,210,178.81,140.74,13.41,34.41,83.24,271.91,722.51
Classic Dress,Norman Ltd Basics (budget),XXXL,cotton,210,184.06,169.94,12.22,34.45,67.34,255.44,723.46
Dress,Cantu Group (mid_range),XL,cotton,346,342.31,258.78,19.54,261.5,394.4,1164.12,2440.65
Formal Dress,Howell-Noble Basics (budget),S,cotton,176,70.37,56.32,5.37,12.69,23.38,98.34,266.48
Dress,"Nelson, Gomez and Hubbard (mid_range)",XL,cotton,431,395.79,353.83,20.69,291.52,444.65,1214.38,2720.85
Dress,Ramirez Ltd Basics (budget),XXL,cotton,192,163.57,128.63,10.88,30.69,75.4,235.24,644.39
Dress,Dixon-Clayton (mid_range),S,cotton,533,305.67,241.92,18.53,201.62,243.34,870.73,1881.82
